area,type,BHK,sqft,price,unit
Bopal,Apartment,4,2475,1.65,Cr
Bopal,Apartment,3,2214,1.18,Cr
Shela,Apartment,4,2460,1.3,Cr
Vastrapur,Apartment,4,3967,2.97,Cr
Thaltej,Villa,4,3600,3.35,Cr
Bodakdev,Apartment,3,1809,1.42,Cr
Shela,Apartment,3,1876,1.05,Cr
Bodakdev,Apartment,4,2700,1.95,Cr
Bopal,Apartment,3,1548,75,L
Ambli,Apartment,4,5880,5.4,Cr
Memnagar,Apartment,3,2394,2.35,Cr
Ambli,Apartment,4,3475,2.13,Cr
Ambli,Apartment,4,4154,3.28,Cr
Bodakdev,Apartment,4,3276,2.12,Cr
Bodakdev,Apartment,4,4188,3.5,Cr
Bodakdev,Apartment,4,2970,2.8,Cr
Bodakdev,Apartment,4,3300,2.04,Cr
Bodakdev,Apartment,4,4400,3.44,Cr
Sola,Apartment,4,3825,2.16,Cr
Shela,Independent House,4,6885,5.75,Cr
Bopal,Apartment,3,2100,96,L
Science City,Apartment,2,1305,87,L
Shilaj,Apartment,3,1615,60.59,L
Shilaj,Apartment,3,1626,60.99,L
Sanathal,Villa,4,5200,5.2,Cr
Paldi,Apartment,2,1240,68.2,L
Paldi,Apartment,2,1370,75.35,L
Paldi,Apartment,2,1350,74.25,L
Paldi,Apartment,2,1295,71.22,L
Paldi,Apartment,2,1325,72.87,L
Paldi,Apartment,2,1260,69.3,L
Satellite,Apartment,3,1710,85,L
Shilaj,Apartment,4,2700,1.51,Cr
Thaltej,Apartment,4,3600,2.85,Cr
Bodakdev,Apartment,4,3967,2.58,Cr
Ambavadi,Apartment,4,5590,5,Cr
Satellite,Apartment,3,2079,1.45,Cr
Jodhpur Village,Apartment,3,2430,2.1,Cr
Vastrapur,Apartment,4,3210,1.76,Cr
Near Nirma University On SG Highway,Apartment,2,966,47,L
Thaltej,Independent House,4,3100,4.95,Cr
Bhat,Apartment,3,2385,87,L
Shela,Apartment,3,777,52.44,L
Shela,Apartment,2,617,42.53,L
Shela,Apartment,3,773,52.16,L
Shela,Apartment,2,623,43.16,L
Thaltej,Villa,4,1620,1.6,Cr
Ambli,Apartment,4,3900,2.9,Cr
Vejalpur,Apartment,1,990,35,L
Sanand,Independent House,3,1215,53,L
Sanand,Independent House,3,1233,53,L
Bopal,Apartment,3,2100,1.1,Cr
Shela,Apartment,4,2300,1,Cr
Shela,Villa,4,7000,6,Cr
Bodakdev,Apartment,3,1550,85,L
Shilaj,Apartment,3,812,54.99,L
Shela,Apartment,4,2500,1.15,Cr
Bodakdev,Apartment,2,750,40,L
Shela,Apartment,2,1285,35.33,L
Shela,Apartment,1,646,17,L
Shela,Villa,5,5850,4,Cr
Shela,Villa,4,4300,3.61,Cr
Shela,Villa,4,4200,2.8,Cr
Shela,Apartment,3,2042,91,L
Bopal,Apartment,2,1185,35.55,L
Shela,Villa,4,4419,3.7,Cr
Bopal,Apartment,3,1450,43.5,L
Shela,Apartment,3,1475,60,L
Bopal,Apartment,2,1175,37.6,L
Shela,Apartment,3,1435,47.5,L
Shela,Apartment,3,1885,62,L
Memnagar,Apartment,3,1800,70,L
Vastrapur,Villa,5,5000,6.5,Cr
Bopal,Apartment,2,1195,38.24,L
Science City,Apartment,3,2097,1.14,Cr
Science City,Apartment,3,2025,1.41,Cr
Science City,Apartment,3,2097,1.11,Cr
Science City,Apartment,3,2097,1.16,Cr
Science City,Apartment,3,2286,1.26,Cr
Science City,Apartment,3,2097,1.18,Cr
Vastrapur,Apartment,3,1665,99.5,L
Science City,Apartment,4,3024,1.64,Cr
Science City,Apartment,4,3024,1.61,Cr
Science City,Apartment,3,2295,1.74,Cr
Science City,Apartment,3,2385,1.26,Cr
Sola Village,Apartment,3,1710,84.5,L
Science City,Apartment,3,2475,1.31,Cr
Science City,Apartment,3,2475,1.32,Cr
Science City,Apartment,3,2286,1.29,Cr
Juhapura,Apartment,2,1000,30,L
Science City,Apartment,3,2295,1.75,Cr
Science City,Apartment,3,2070,1.29,Cr
Science City,Apartment,3,2664,1.7,Cr
Science City,Apartment,3,2340,1.54,Cr
Science City,Apartment,3,1890,1.19,Cr
Science City,Apartment,3,2025,1.19,Cr
Science City,Apartment,3,2448,1.5,Cr
Science City,Apartment,3,1710,1.04,Cr
Science City,Apartment,3,1800,1.29,Cr
Shrinand Nagar,Apartment,1,800,28,L
Juhapura,Villa,3,2000,1.35,Cr
Vejalpur,Apartment,2,900,25.5,L
New Ranip,Apartment,2,1305,50,L
Vatva,Apartment,1,810,13,L
Vejalpur,Apartment,2,828,30,L
Vejalpur,Apartment,2,981,37,L
Vishala,Villa,4,2000,1.6,Cr
Bopal,Apartment,3,1400,52,L
Juhapura,Independent House,3,1600,1,Cr
Koba,Apartment,3,2493,88.64,L
Naranpuraa,Independent House,4,2385,1.8,Cr
Near Nirma University On SG Highway,Apartment,3,1850,86.99,L
Near Nirma University On SG Highway,Apartment,3,1775,81.51,L
Near Nirma University On SG Highway,Apartment,3,1350,62.98,L
Chandkheda,Apartment,4,3000,1.4,Cr
Jivraj Park,Apartment,1,585,25,L
Juhapura,Independent House,2,900,18,L
Ghuma,Apartment,1,750,20,L
Ghuma,Apartment,2,1035,25,L
Bopal,Villa,5,4050,3.51,Cr
Thaltej,Villa,4,2979,1.99,Cr
Thaltej,Villa,4,1620,1.99,Cr
Chanakyapuri,Villa,3,1908,1.89,Cr
Chanakyapuri,Villa,3,1575,1.75,Cr
Science City,Villa,4,2160,2.24,Cr
Ghatlodiya,Villa,3,1350,1.79,Cr
Ghatlodiya,Villa,4,1620,1.75,Cr
Science City,Villa,4,2358,2.59,Cr
Thaltej,Villa,3,2070,2.14,Cr
Bodakdev,Apartment,4,5600,5.32,Cr
Prahlad Nagar,Apartment,3,2010,1.2,Cr
Thaltej,Apartment,3,1368,80,L
Vejalpur,Independent House,2,1045,65,L
Bopal,Apartment,3,1750,48,L
Bopal,Villa,3,1800,1.38,Cr
Bopal,Apartment,3,2214,1.07,Cr
Paldi,Villa,4,3654,4.15,Cr
Jodhpur,Apartment,2,990,52,L
Shela,Apartment,4,3538,1.6,Cr
Shela,Apartment,4,3538,1.67,Cr
Shela,Apartment,3,1475,56.06,L
Shela,Apartment,4,3538,1.77,Cr
Shela,Apartment,4,2585,1.15,Cr
