area,type,BHK,sqft,price,unit
Chandkheda,Apartment,4,2943,1.09,Cr
Chandkheda,Apartment,3,2943,1.1,Cr
Near Nirma University On SG Highway,Apartment,2,1350,44,L
Shela,Apartment,4,2300,1.25,Cr
Bopal,Apartment,4,2340,90,L
Gota,Apartment,2,954,30,L
Bopal,Apartment,3,2115,1.18,Cr
Prahlad Nagar,Apartment,3,1900,1,Cr
Bopal,Apartment,3,1800,81,L
Jodhpur,Apartment,3,1341,85,L
Prahlad Nagar,Apartment,3,2010,1.25,Cr
Vejalpur,Apartment,2,850,33,L
Jodhpur Village,Apartment,3,2507,1.68,Cr
Jodhpur Village,Apartment,3,2750,1.78,Cr
Shela,Apartment,3,812,43.4,L
Bopal,Independent House,3,990,77,L
Jodhpur Village,Apartment,3,1791,1.3,Cr
Satellite,Apartment,3,2133,1.6,Cr
Prahlad Nagar,Apartment,3,1705,95,L
Bopal,Villa,4,2880,1.75,Cr
Satellite,Apartment,4,3800,2.62,Cr
Thaltej,Independent House,4,3501,4.5,Cr
Ghuma,Independent House,4,2250,1.25,Cr
Ghuma,Villa,3,1629,1.1,Cr
Bopal,Independent House,3,1035,85,L
Vastrapur,Apartment,3,1615,96.33,L
Vastrapur,Apartment,3,1885,1.12,Cr
Vastrapur,Apartment,3,1585,94.54,L
Vastrapur,Apartment,3,2020,1.2,Cr
Vastrapur,Apartment,4,2415,1.44,Cr
Bopal,Apartment,3,1435,44.49,L
Shela,Apartment,3,1435,46,L
Bopal,Apartment,4,3030,96.96,L
Bopal,Apartment,3,1985,63.52,L
Bopal,Apartment,3,1725,85,L
Bopal,Apartment,3,1413,68,L
Bopal,Apartment,2,1260,60,L
Bopal,Independent House,4,2700,2,Cr
Bopal,Apartment,4,3538,1.41,Cr
Chandkheda,Villa,2,1485,71.1,L
Adalaj,Villa,3,4950,2.99,Cr
Adalaj,Villa,3,4950,2.98,Cr
Adalaj,Villa,3,4950,2.97,Cr
Adalaj,Villa,3,4950,3.01,Cr
Adalaj,Villa,3,4950,3,Cr
Chandkheda,Villa,2,1485,70.9,L
Vastrapur,Apartment,3,920,1.01,Cr
Vastrapur,Apartment,3,903,99,L
Bopal,Apartment,3,1450,80,L
Bopal,Apartment,4,3600,2.5,Cr
Bopal,Apartment,4,2825,1.15,Cr
Ambavadi,Apartment,4,4041,2.37,Cr
Ambavadi,Apartment,4,3447,2.07,Cr
Ambavadi,Apartment,4,2943,1.75,Cr
Ambavadi,Apartment,4,2943,1.75,Cr
Ambavadi,Apartment,3,2295,1.37,Cr
Ambavadi,Apartment,3,2295,1.37,Cr
Vastrapur,Apartment,4,1378,1.51,Cr
Vastrapur,Apartment,3,1075,1.08,Cr
Shela,Apartment,3,1876,87,L
Bopal,Apartment,3,1600,75,L
Bopal,Apartment,3,1470,85,L
Shela,Apartment,3,1708,45,L
Bopal,Apartment,3,2350,1.1,Cr
Bopal,Apartment,2,1175,37.01,L
Ambli,Apartment,4,2460,1.04,Cr
Ambli,Apartment,4,2560,1.15,Cr
Ambli,Apartment,3,1850,83.25,L
Bopal,Apartment,3,1430,42.19,L
Bopal,Apartment,3,1440,45.36,L
Bopal,Apartment,3,1431,42.19,L
Shela,Apartment,3,810,43.34,L
Shela,Apartment,2,656,31.57,L
Shela,Apartment,4,3271,1.05,Cr
Shela,Apartment,4,2585,82.72,L
Shela,Apartment,3,2012,64.42,L
Shela,Apartment,3,814,43.6,L
Shela,Apartment,3,813,43.5,L
Shela,Apartment,5,4255,1.35,Cr
Bopal,Apartment,5,4507,1.89,Cr
Bopal,Apartment,4,3540,1.49,Cr
Bopal,Apartment,4,3314,1.39,Cr
Prahlad Nagar,Apartment,3,2100,1.45,Cr
Prahlad Nagar,Apartment,3,2115,1.25,Cr
Prahlad Nagar,Apartment,3,2115,1.35,Cr
Shela,Apartment,3,815,43.6,L
Shela,Apartment,3,813,43.5,L
Shela,Apartment,3,811,43.4,L
Shela,Apartment,3,809,43.34,L
Shela,Apartment,3,2013,64.42,L
Shela,Apartment,5,4254,1.36,Cr
Shela,Apartment,4,3270,1.05,Cr
Shela,Apartment,4,2585,82.72,L
Bopal,Apartment,5,4508,1.89,Cr
Bopal,Apartment,4,3538,1.49,Cr
Bopal,Apartment,3,1440,45.36,L
Bopal,Apartment,2,1175,37.01,L
Manipur,Villa,4,2628,1.23,Cr
Sanand,Villa,4,2100,4.5,Cr
Bopal,Apartment,3,668,46.51,L
Chandkheda,Apartment,2,1170,37,L
Chandkheda,Apartment,2,1152,36.5,L
Memnagar,Apartment,4,5266,4.5,Cr
Chandkheda,Apartment,3,1602,55,L
Chandkheda,Apartment,3,1602,54.5,L
Chandkheda,Apartment,3,1575,54,L
Prahlad Nagar,Apartment,3,1845,1.25,Cr
Prahlad Nagar,Apartment,3,2700,1.2,Cr
Jodhpur Village,Apartment,3,2507,1.67,Cr
Prahlad Nagar,Apartment,3,1845,1.25,Cr
Prahlad Nagar,Apartment,3,2700,1.2,Cr
Prahlad Nagar,Apartment,4,2700,1.6,Cr
Prahlad Nagar,Apartment,4,2700,1.6,Cr
Ranip,Apartment,2,1069,40,L
Thaltej,Villa,4,4050,6,Cr
Gulbai Tekra,Apartment,3,2540,2.1,Cr
Gulbai Tekra,Apartment,5,6400,5.5,Cr
Gulbai Tekra,Apartment,5,6400,5.5,Cr
Chandkheda,Apartment,2,1152,36.75,L
Gota,Apartment,4,2628,1.13,Cr
Nirnay Nagar,Apartment,4,2826,1.33,Cr
Nirnay Nagar,Apartment,3,1863,87.97,L
Vasna,Apartment,3,1725,1.07,Cr
Vasna,Apartment,3,1725,1.07,Cr
Ranip,Apartment,1,1232,46,L
Ranip,Apartment,1,1069,32,L
Jodhpur,Apartment,3,4680,3,Cr
Chandkheda,Apartment,2,1035,38,L
Koteshwar,Apartment,2,1260,47.8,L
Koteshwar,Apartment,2,1260,47.99,L
Chandkheda,Villa,2,1485,71.5,L
Gota,Apartment,2,1170,42,L
Shilaj,Apartment,4,3700,2.07,Cr
Maninagar,Apartment,3,1485,71.28,L
Chharodi,Apartment,2,1332,54,L
Chandkheda,Apartment,2,1152,45.5,L
Motera,Apartment,3,1890,85,L
Koteshwar,Apartment,2,1260,47.5,L
Jodhpur,Apartment,3,1985,1.44,Cr
Jodhpur,Apartment,4,2969,2.45,Cr
Ambavadi,Apartment,2,1260,58.8,L
Chandkheda,Apartment,3,1575,54.5,L
Sanand,Villa,1,1626,20,L
Sanand,Villa,1,1626,15,L
Shilaj,Villa,4,3942,4.5,Cr
Nava Vadaj,Villa,3,3600,3.11,Cr
Chandkheda,Villa,2,1485,71.1,L
Judges Bungalow,Independent Floor,5,3600,2.25,Cr
Prahlad Nagar,Apartment,4,2700,1.6,Cr
Jodhpur Village,Apartment,3,2507,1.67,Cr
Prahlad Nagar,Apartment,3,1845,1.25,Cr
Prahlad Nagar,Apartment,3,2700,1.2,Cr
Prahlad Nagar,Apartment,3,2700,1.2,Cr
Prahlad Nagar,Apartment,4,2700,1.6,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,4,2405,1.91,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,3,1491,1.19,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,3,1534,1.23,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,5,4389,2.87,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,5,4465,3.02,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,4,2175,1.5,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,4,2504,1.74,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,4,2363,1.75,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,4,2158,1.45,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,4,2420,1.68,Cr
Thaltej,Independent House,4,1390,4.5,Cr
Prahlad Nagar,Apartment,4,2700,1.6,Cr
Prahlad Nagar,Apartment,4,2700,1.6,Cr
Jodhpur Village,Apartment,3,2507,1.67,Cr
Jodhpur Village,Apartment,3,2507,1.67,Cr
Prahlad Nagar,Apartment,3,1845,1.25,Cr
Prahlad Nagar,Apartment,3,1845,1.25,Cr
Prahlad Nagar,Apartment,3,2700,1.2,Cr
Prahlad Nagar,Apartment,3,2700,1.2,Cr
Vasna,Apartment,3,1725,1.07,Cr
Vasna,Apartment,3,1725,1.07,Cr
Vasna,Apartment,3,1725,1.07,Cr
Vejalpur,Apartment,2,1215,50,L
Ghatlodiya,Apartment,2,1323,62,L
Ghatlodiya,Apartment,2,1179,60,L
Bopal,Apartment,1,1400,65,L
Gulbai Tekra,Apartment,5,6435,5.5,Cr
Ambavadi,Apartment,2,1135,56.75,L
Memnagar,Apartment,1,1404,70,L
Zundal,Apartment,3,1503,47.49,L
Shahibuag,Independent House,4,5400,4.74,Cr
Ghatlodiya,Apartment,2,1179,60,L
Ghatlodiya,Apartment,2,1179,60,L
Chandkheda,Apartment,3,2025,74.23,L
Navrangpura,Apartment,3,1467,85,L
Vejalpur,Apartment,2,1270,50,L
Vejalpur,Apartment,3,1730,80,L
Prahlad Nagar,Apartment,3,1800,95,L
Near Nirma University On SG Highway,Apartment,4,3220,1.35,Cr
Near Nirma University On SG Highway,Apartment,3,2433,1.1,Cr
Chandkheda,Apartment,3,2520,92,L
Vastrapur,Apartment,3,1815,1.08,Cr
Vastrapur,Apartment,3,1615,96.33,L
Vastrapur,Apartment,3,1885,1.12,Cr
Vastrapur,Apartment,3,1585,94.54,L
Vastrapur,Apartment,3,2020,1.2,Cr
Vastrapur,Apartment,4,2415,1.44,Cr
Vastrapur,Apartment,3,1885,1.12,Cr
Shela,Apartment,2,1850,95,L
Ghuma,Independent House,4,2278,1.5,Cr
Chandkheda,Apartment,2,1125,34.51,L
Bopal,Independent House,4,2700,95,L
Bopal,Independent House,6,4050,1.75,Cr
Near Nirma University On SG Highway,Apartment,2,838,58.4,L
Near Nirma University On SG Highway,Apartment,2,602,42.31,L
Near Nirma University On SG Highway,Apartment,2,822,57.66,L
Near Nirma University On SG Highway,Apartment,1,679,47.14,L
Near Nirma University On SG Highway,Apartment,2,624,43.88,L
Near Nirma University On SG Highway,Apartment,3,1048,84.13,L
Ranip,Apartment,1,640,21.22,L
Near Nirma University On SG Highway,Apartment,2,616,43.27,L
Ranip,Apartment,1,649,21.51,L
Near Nirma University On SG Highway,Apartment,2,833,58.4,L
Ranip,Apartment,2,974,32.28,L
Ranip,Apartment,2,1131,37.23,L
Near Nirma University On SG Highway,Apartment,2,615,43.23,L
Near Nirma University On SG Highway,Apartment,1,700,49,L
Prahlad Nagar,Apartment,3,1833,1,Cr
Chandkheda,Apartment,2,1350,42,L
Prahlad Nagar,Apartment,3,2145,1,Cr
Bhadaj,Apartment,2,1080,48,L
Ghuma,Independent House,6,4050,1.75,Cr
Sola,Apartment,2,1143,55,L
Shela,Apartment,3,1475,60,L
Gurukul,Apartment,3,1125,55,L
Ellisbridge,Apartment,4,5850,4.8,Cr
Ambli,Apartment,4,4154,3.5,Cr
Bodakdev,Apartment,4,2700,2.2,Cr
Thaltej,Apartment,4,2666,2.35,Cr
Thaltej,Apartment,3,1908,1.23,Cr
Paldi,Apartment,3,1980,1.25,Cr
Jodhpur Village,Apartment,3,1854,1.31,Cr
Ellisbridge,Apartment,4,5850,4.8,Cr
Paldi,Apartment,4,3675,2.7,Cr
Ellisbridge,Apartment,3,2458,2.15,Cr
Vejalpur,Apartment,3,1510,65,L
Navrangpura,Apartment,3,2268,1.46,Cr
Shela,Villa,5,4950,2.5,Cr
Navrangpura,Apartment,4,3150,2.03,Cr
Paldi,Apartment,4,3825,2.45,Cr
Ellisbridge,Apartment,4,3900,2.8,Cr
Ellisbridge,Apartment,4,3900,2.8,Cr
Bopal,Independent House,3,1323,1,Cr
Bopal,Independent House,3,1890,1,Cr
Bopal,Independent House,3,1890,1,Cr
Ellisbridge,Apartment,4,3900,2.8,Cr
Ellisbridge,Apartment,4,3900,2.8,Cr
Shela,Independent House,4,3276,2.5,Cr
Ambavadi,Apartment,4,3400,3.25,Cr
Sola Village,Apartment,2,1143,55,L
Vastrapur,Apartment,2,1150,39.5,L
Satellite,Apartment,3,1674,1.11,Cr
Bopal,Apartment,3,2460,1.6,Cr
Satellite,Apartment,3,2061,1.35,Cr
Satellite,Apartment,3,1650,1,Cr
Satellite,Apartment,2,1100,65,L
Satellite,Apartment,1,1250,60,L
Prahlad Nagar,Apartment,3,2145,1,Cr
Bopal,Independent House,3,3240,1.75,Cr
Bopal,Apartment,2,800,42,L
Bopal,Apartment,3,1985,1,Cr
Bopal,Apartment,5,5615,2.61,Cr
Bopal,Apartment,5,3725,2.3,Cr
Thaltej,Apartment,3,1845,1.5,Cr
Sanathal,Villa,4,2376,1.75,Cr
Bopal,Apartment,5,5370,2.5,Cr
Shilaj,Apartment,3,1750,70,L
Manipur,Independent House,3,1476,70,L
Jodhpur Village,Apartment,3,1800,1,Cr
Sanathal,Villa,4,2700,2.5,Cr
Maninagar,Apartment,2,1035,28,L
Makarba,Apartment,1,670,27.75,L
Near Nirma University On SG Highway,Apartment,2,1300,50,L
Gota,Apartment,2,1210,48,L
Near Nirma University On SG Highway,Apartment,2,1420,57.5,L
Bopal,Apartment,2,1215,51,L
Sanathal,Villa,3,1827,1.5,Cr
Nikol,Villa,4,2808,3.65,Cr
Memnagar,Apartment,2,1509,95,L
Thaltej,Apartment,2,1170,60,L
Prahlad Nagar,Apartment,3,2043,1.35,Cr
Odhav,Apartment,2,999,28,L
Vastrapur,Apartment,3,1980,98,L
Satellite,Apartment,2,1665,80,L
Manipur,Independent House,3,1866,72,L
Bopal,Apartment,3,1550,62,L
Shela,Apartment,3,1435,58,L
Bopal,Apartment,3,1440,65,L
Shela,Apartment,3,1484,49.12,L
Shela,Apartment,2,1210,40.05,L
Thaltej,Apartment,4,2810,1.71,Cr
Bopal,Apartment,3,1470,84.51,L
Shilaj,Apartment,2,1285,49,L
Bopal,Apartment,3,1550,62,L
Bopal,Apartment,2,1296,56,L
Bopal,Independent House,4,2379,1.65,Cr
Bopal,Independent House,4,2050,1.45,Cr
Bopal,Independent House,4,3800,2.05,Cr
Bopal,Independent House,5,4200,1.9,Cr
Bopal,Independent House,3,2565,1.25,Cr
Bopal,Independent House,4,3600,2.15,Cr
Bopal,Apartment,2,999,45,L
Bopal,Independent House,4,1960,1.55,Cr
Ghuma,Independent House,5,5365,2.4,Cr
Bopal,Independent House,4,3600,2.15,Cr
Bopal,Apartment,2,999,45,L
Bopal,Independent House,4,1960,1.55,Cr
Ghuma,Independent House,5,5365,2.4,Cr
Bopal,Independent House,3,2800,1.49,Cr
Bopal,Apartment,3,2214,1.1,Cr
Bopal,Apartment,2,1170,42.63,L
Bopal,Independent House,5,4050,2.33,Cr
Ghuma,Independent House,4,3032,1.5,Cr
Ghuma,Independent House,4,2800,1.75,Cr
Shilaj,Apartment,3,1350,56,L
Bopal,Apartment,3,1899,92,L
Satellite,Apartment,2,2070,1.6,Cr
Satellite,Apartment,3,1836,1.15,Cr
Shilaj,Apartment,3,1550,54,L
Ambli,Apartment,3,2260,1.8,Cr
Bopal,Apartment,3,1530,62,L
Science City,Apartment,2,1305,70,L
Ambli,Apartment,3,2250,1.6,Cr
Shilaj,Apartment,3,1350,48,L
Bopal,Apartment,3,1550,60.95,L
Near Vaishno Devi Circle On SG Highway,Apartment,3,1139,81.08,L
Near Vaishno Devi Circle On SG Highway,Apartment,2,704,53.8,L
Near Vaishno Devi Circle On SG Highway,Apartment,3,1189,83.82,L
Near Vaishno Devi Circle On SG Highway,Apartment,2,924,67.9,L
Near Vaishno Devi Circle On SG Highway,Apartment,3,1458,1.05,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,3,1166,82.32,L
Near Vaishno Devi Circle On SG Highway,Apartment,2,902,66.28,L
